usage_id,customer_id,feature_name,usage_frequency,last_used_date
255,984,Feature A,375,2024-06-26
256,349,Feature A,74,2023-12-08
257,1752,Feature B,55,2024-01-23
258,1448,Feature D,126,2024-02-27
259,1138,Feature C,200,2024-08-22
260,1502,Feature C,87,2024-07-21
261,1248,Feature D,235,2024-04-18
262,687,Feature A,346,2024-08-30
263,1359,Feature D,386,2023-12-18
264,1615,Feature A,106,2024-07-30
265,939,Feature D,460,2024-07-30
266,1037,Feature B,315,2024-07-07
267,992,Feature C,102,2024-05-25
268,1633,Feature D,62,2024-06-29
269,1267,Feature C,60,2024-02-28
270,525,Feature B,36,2024-05-08
271,475,Feature B,399,2024-10-11
272,355,Feature C,18,2024-09-13
273,1522,Feature B,72,2024-09-30
274,245,Feature D,264,2024-01-27
275,1037,Feature D,329,2024-09-29
276,675,Feature A,47,2024-05-02
277,801,Feature B,492,2024-09-09
278,536,Feature D,336,2024-08-13
279,1959,Feature D,165,2024-01-16
280,866,Feature D,48,2024-09-06
281,810,Feature D,330,2024-04-08
282,1135,Feature B,90,2024-08-19
283,821,Feature A,12,2024-02-12
284,834,Feature B,266,2024-10-04
285,27,Feature D,428,2024-07-25
286,1978,Feature B,323,2024-11-07
287,398,Feature A,191,2024-01-03
288,1929,Feature D,280,2024-04-08
289,1380,Feature C,476,2024-09-06
290,731,Feature D,375,2024-01-14
291,380,Feature B,98,2024-07-13
292,945,Feature A,106,2024-08-29
293,1305,Feature B,470,2024-10-27
294,1274,Feature A,139,2024-04-07
295,303,Feature A,227,2024-04-14
296,1814,Feature B,363,2024-05-20
297,410,Feature C,130,2024-03-27
298,150,Feature C,354,2024-01-03
299,517,Feature B,98,2024-01-27
300,261,Feature B,143,2023-11-23
301,901,Feature D,415,2024-04-02
302,395,Feature B,51,2024-06-07
303,1579,Feature B,325,2024-04-07
304,364,Feature A,58,2024-05-29
305,944,Feature B,63,2023-12-03
306,907,Feature B,127,2023-12-30
307,521,Feature A,159,2024-09-07
308,1023,Feature A,346,2024-06-20
309,823,Feature C,76,2024-05-03
310,1828,Feature A,319,2024-04-05
311,1863,Feature C,311,2024-11-04
312,1049,Feature D,297,2024-05-03
313,666,Feature C,387,2024-04-11
314,1620,Feature D,118,2024-04-10
315,1731,Feature C,357,2024-08-22
316,258,Feature C,359,2024-07-01
317,1596,Feature A,265,2024-02-04
318,1131,Feature B,180,2024-10-07
319,387,Feature C,248,2023-12-21
320,399,Feature C,464,2024-07-01
321,1088,Feature D,335,2024-01-26
322,930,Feature B,383,2023-12-02
323,1358,Feature B,225,2024-09-07
324,367,Feature A,59,2024-10-22
325,233,Feature D,260,2024-03-07
326,6,Feature A,106,2023-12-08
327,1060,Feature A,456,2024-09-24
328,1764,Feature B,208,2024-03-03
329,1215,Feature C,451,2023-12-01
330,1003,Feature A,220,2024-03-20
331,304,Feature D,98,2024-07-17
332,873,Feature D,241,2024-03-27
333,964,Feature C,20,2024-11-03
334,448,Feature A,422,2023-12-30
335,946,Feature D,169,2024-05-25
336,1402,Feature B,257,2024-10-18
337,231,Feature C,125,2024-11-14
338,493,Feature B,396,2024-08-22
339,292,Feature C,217,2024-04-04
340,1922,Feature C,282,2024-03-05
341,1596,Feature C,16,2024-10-22
342,224,Feature A,313,2024-03-11
343,1514,Feature C,414,2023-12-31
344,1818,Feature A,447,2024-05-08
345,1367,Feature A,396,2024-04-22
346,595,Feature D,471,2024-04-12
347,569,Feature A,32,2024-10-08
348,1901,Feature D,276,2024-07-12
349,250,Feature B,113,2024-03-15
350,580,Feature A,316,2024-01-12
351,1306,Feature D,262,2024-08-10
352,685,Feature D,243,2024-10-10
353,1163,Feature D,382,2024-07-13
354,1460,Feature A,55,2024-01-22
355,1775,Feature B,50,2024-04-26
356,1507,Feature A,452,2024-04-05
357,1422,Feature C,493,2024-01-16
358,436,Feature A,456,2024-10-20
359,1399,Feature B,239,2024-08-24
360,965,Feature C,302,2024-02-29
361,1321,Feature C,75,2024-11-06
362,1977,Feature A,62,2024-04-03
363,1221,Feature B,269,2024-04-10
364,637,Feature B,156,2024-02-06
365,685,Feature A,35,2023-12-22
366,1465,Feature D,33,2024-09-18
367,1466,Feature B,366,2024-08-15
368,1794,Feature D,219,2024-07-11
369,1447,Feature B,310,2024-04-10
370,1767,Feature D,313,2024-03-12
371,782,Feature C,139,2023-12-07
372,563,Feature A,115,2024-05-24
373,532,Feature C,152,2024-10-30
374,1474,Feature D,464,2023-12-26
375,1478,Feature D,246,2024-06-22
376,971,Feature A,294,2024-01-20
377,1447,Feature D,252,2024-02-24
378,1116,Feature C,171,2024-04-30
379,1281,Feature B,195,2024-08-28
380,177,Feature A,75,2023-12-15
381,1339,Feature D,353,2023-12-14
382,1737,Feature C,311,2024-03-10
383,1982,Feature B,304,2024-03-12
384,1932,Feature D,191,2024-03-21
385,1623,Feature B,17,2024-02-24
386,1722,Feature D,379,2024-01-23
387,1741,Feature B,327,2024-04-23
388,184,Feature C,183,2024-01-06
389,370,Feature B,174,2024-10-17
390,1768,Feature A,463,2023-12-11
391,1865,Feature A,411,2024-10-10
392,15,Feature D,270,2024-01-26
393,639,Feature D,182,2024-04-08
394,80,Feature B,8,2023-12-04
395,532,Feature B,23,2024-03-05
396,1264,Feature D,294,2023-12-29
397,1441,Feature C,493,2024-09-22
398,588,Feature B,116,2024-07-22
399,349,Feature B,495,2024-11-08
400,324,Feature A,472,2024-09-11
401,741,Feature B,194,2024-11-13
402,916,Feature A,6,2024-09-15
403,858,Feature A,483,2024-03-29
404,1961,Feature D,331,2024-10-16
405,1724,Feature D,330,2024-02-18
406,677,Feature B,107,2024-09-07
407,943,Feature A,455,2024-05-19
408,558,Feature B,146,2024-05-11
409,539,Feature A,357,2024-05-15
410,394,Feature A,4,2024-10-20
411,1951,Feature C,121,2024-05-19
412,1340,Feature D,356,2024-11-04
413,135,Feature D,252,2024-08-20
414,643,Feature D,194,2024-01-25
415,1772,Feature D,25,2024-04-15
416,501,Feature C,128,2024-09-29
417,909,Feature B,78,2024-11-22
418,362,Feature C,323,2024-03-21
419,1632,Feature A,4,2024-11-16
420,133,Feature C,455,2024-01-07
421,1141,Feature C,455,2024-04-12
422,1374,Feature D,180,2024-09-30
423,1082,Feature D,313,2024-09-14
424,742,Feature C,445,2024-07-11
425,632,Feature B,176,2024-08-22
426,1184,Feature C,153,2024-04-05
427,1388,Feature D,387,2024-05-31
428,1621,Feature A,322,2024-08-19
429,526,Feature B,21,2024-11-02
430,1314,Feature A,270,2024-06-06
431,1579,Feature B,80,2024-03-02
432,1250,Feature A,486,2024-06-10
433,1786,Feature A,170,2024-08-04
434,1407,Feature C,185,2023-12-07
435,644,Feature A,106,2024-05-30
436,1409,Feature A,291,2024-02-23
437,38,Feature B,258,2024-10-27
438,1976,Feature A,290,2024-04-23
439,349,Feature A,182,2024-07-25
440,662,Feature A,86,2024-02-11
441,1771,Feature B,42,2024-06-27
442,405,Feature A,293,2023-12-28
443,874,Feature A,431,2023-12-24
444,335,Feature C,74,2023-12-07
445,1213,Feature D,89,2024-10-10
446,301,Feature D,259,2024-02-22
447,457,Feature A,467,2023-12-15
448,296,Feature C,242,2024-11-03
449,639,Feature A,475,2024-08-16
450,1029,Feature C,485,2024-08-10
451,1684,Feature C,209,2024-05-18
452,1967,Feature A,300,2024-02-17
453,626,Feature A,458,2024-09-14
454,1836,Feature C,247,2024-03-26
455,339,Feature A,262,2023-12-29
456,985,Feature A,349,2024-01-22
457,300,Feature B,348,2024-11-11
458,313,Feature B,471,2024-10-05
459,404,Feature C,111,2024-06-06
460,608,Feature D,229,2024-03-11
461,135,Feature C,148,2024-03-26
462,69,Feature C,290,2024-06-10
463,100,Feature B,300,2024-07-24
464,1926,Feature D,350,2024-11-06
465,758,Feature C,308,2024-06-22
466,51,Feature D,90,2024-03-04
467,85,Feature B,336,2024-08-27
468,1520,Feature D,306,2024-09-11
469,16,Feature A,324,2024-04-23
470,1483,Feature A,247,2023-12-13
471,1091,Feature D,281,2024-04-09
472,1654,Feature A,474,2024-07-11
473,1636,Feature A,122,2024-08-31
474,219,Feature D,315,2024-05-01
475,1740,Feature A,282,2023-12-27
476,1692,Feature C,104,2024-01-27
477,511,Feature B,378,2024-10-04
478,216,Feature A,449,2024-11-06
479,1487,Feature C,303,2024-02-28
480,1622,Feature C,478,2024-06-20
481,1559,Feature D,290,2024-09-16
482,1801,Feature D,158,2024-02-16
483,115,Feature B,329,2024-06-08
484,21,Feature C,245,2024-10-31
485,1962,Feature D,194,2024-02-26
486,1868,Feature D,232,2024-08-26
487,1101,Feature A,198,2024-06-18
488,941,Feature B,346,2024-02-12
489,1648,Feature D,430,2024-05-30
490,11,Feature D,147,2024-04-12
491,481,Feature B,290,2024-09-18
492,194,Feature A,131,2024-09-11
493,396,Feature B,76,2024-09-21
494,1659,Feature C,220,2024-05-10
495,545,Feature A,277,2024-07-20
496,907,Feature D,286,2024-07-13
497,1635,Feature C,324,2024-02-07
498,1843,Feature B,116,2024-01-24
499,1614,Feature A,237,2024-02-07
500,1182,Feature D,321,2024-09-16
501,489,Feature A,216,2023-11-29
502,1636,Feature C,458,2024-07-01
503,87,Feature B,493,2024-08-24
504,430,Feature D,143,2024-05-29
505,375,Feature C,137,2024-06-02
506,738,Feature D,345,2024-05-10
507,957,Feature A,410,2024-11-12
508,1236,Feature A,167,2024-02-15
509,1312,Feature D,492,2024-05-19
510,856,Feature B,154,2024-10-25
511,1776,Feature B,77,2024-01-11
512,999,Feature D,289,2024-07-27
513,96,Feature D,111,2024-06-12
514,965,Feature A,97,2024-06-07
515,1413,Feature B,97,2024-07-17
516,971,Feature B,211,2023-12-05
517,292,Feature A,390,2024-08-12
518,1647,Feature D,336,2024-01-03
519,320,Feature D,199,2024-08-28
520,1692,Feature D,427,2024-11-02
521,1431,Feature A,230,2023-11-30
522,860,Feature C,391,2024-03-25
523,516,Feature A,152,2024-07-03
524,874,Feature C,38,2024-06-04
525,1504,Feature C,482,2024-09-20
526,241,Feature B,369,2024-10-21
527,577,Feature C,221,2024-10-27
528,1664,Feature B,144,2024-11-06
529,1863,Feature D,59,2023-12-24
530,826,Feature A,132,2024-10-20
531,1341,Feature C,422,2024-10-04
532,659,Feature B,484,2024-05-28
533,1863,Feature A,357,2024-01-15
534,1671,Feature B,95,2024-05-19
535,1977,Feature C,373,2024-10-29
536,896,Feature A,94,2023-12-05
537,299,Feature C,491,2024-04-13
538,986,Feature C,471,2024-01-07
539,463,Feature A,497,2024-04-10
540,136,Feature A,49,2024-03-16
541,667,Feature C,401,2023-12-20
542,6,Feature D,110,2024-07-07
543,1688,Feature C,8,2024-10-14
544,1190,Feature C,40,2024-06-09
545,991,Feature B,438,2024-02-15
546,220,Feature C,160,2024-03-30
547,496,Feature B,421,2024-06-29
548,741,Feature D,451,2024-05-25
549,943,Feature A,188,2023-12-13
550,889,Feature A,358,2024-04-30
551,163,Feature B,465,2024-08-30
552,1225,Feature D,444,2024-09-09
553,624,Feature B,143,2024-06-18
554,1325,Feature A,399,2024-06-26
555,1632,Feature A,76,2024-06-23
556,1631,Feature B,384,2024-01-20
557,1140,Feature D,152,2024-02-04
558,978,Feature C,222,2024-10-04
559,1804,Feature D,106,2023-12-21
560,1790,Feature A,212,2024-05-08
561,1957,Feature D,320,2024-09-22
562,292,Feature C,174,2024-03-02
563,915,Feature B,156,2024-03-10
564,835,Feature B,395,2024-09-19
565,587,Feature A,344,2024-09-08
566,1798,Feature B,417,2024-10-11
567,854,Feature A,66,2024-04-26
568,932,Feature D,91,2023-12-05
569,1709,Feature A,211,2024-10-26
570,1372,Feature A,378,2024-11-18
571,1618,Feature D,137,2024-10-23
572,1651,Feature C,433,2023-12-02
573,830,Feature D,453,2024-03-17
574,1371,Feature B,132,2024-09-16
575,113,Feature C,143,2023-12-26
576,1500,Feature B,17,2024-06-11
577,1738,Feature B,225,2023-12-08
578,1412,Feature C,451,2024-03-08
579,1979,Feature B,195,2024-04-16
580,233,Feature C,254,2024-09-16
581,602,Feature B,242,2024-10-20
582,316,Feature A,223,2024-06-27
583,1938,Feature B,372,2024-06-27
584,1614,Feature D,162,2024-10-27
585,1474,Feature B,388,2024-08-25
586,552,Feature D,183,2024-05-26
587,974,Feature D,357,2024-04-23
588,1041,Feature D,436,2024-05-16
589,1990,Feature A,118,2023-12-23
590,1188,Feature D,371,2023-11-23
591,438,Feature C,227,2024-04-27
592,1358,Feature B,431,2024-05-28
593,1540,Feature D,100,2024-05-14
594,1695,Feature D,488,2023-12-16
595,1033,Feature A,20,2024-06-11
596,687,Feature A,271,2024-03-13
597,1293,Feature C,169,2024-02-19
598,1821,Feature D,401,2023-11-26
599,1791,Feature C,306,2024-03-05
600,985,Feature D,278,2023-12-21
601,1846,Feature C,407,2024-04-12
602,668,Feature A,194,2024-09-27
603,725,Feature A,174,2024-10-20
604,1236,Feature D,251,2024-05-16
605,1938,Feature B,76,2024-10-01
606,1716,Feature C,466,2024-02-15
607,364,Feature C,53,2024-01-02
608,410,Feature D,399,2023-12-26
609,23,Feature C,434,2023-12-12
610,1596,Feature A,121,2024-05-24
611,655,Feature A,150,2024-10-28
612,797,Feature B,264,2024-04-06
613,1045,Feature D,237,2024-11-13
614,1866,Feature B,111,2024-03-01
615,118,Feature C,220,2023-12-18
616,1604,Feature C,23,2024-10-31
617,1729,Feature A,254,2024-02-15
618,1566,Feature C,289,2024-11-11
619,51,Feature A,94,2024-09-20
620,471,Feature B,290,2024-03-16
621,1318,Feature C,485,2023-11-24
622,524,Feature C,230,2024-01-25
623,1180,Feature A,94,2024-08-24
624,307,Feature B,215,2024-07-14
625,1542,Feature A,320,2024-05-20
626,1622,Feature C,333,2024-01-31
627,245,Feature D,280,2024-04-20
628,277,Feature A,496,2024-02-08
629,83,Feature B,129,2024-03-25
630,1209,Feature D,304,2024-05-10
631,193,Feature C,471,2024-10-10
632,924,Feature A,368,2024-10-05
633,1789,Feature D,375,2023-12-15
634,1875,Feature B,457,2024-11-08
635,84,Feature C,155,2024-06-18
636,807,Feature B,400,2024-06-04
637,1373,Feature C,436,2024-04-03
638,1476,Feature C,178,2024-10-02
639,66,Feature C,155,2024-02-26
640,1142,Feature C,135,2024-01-01
641,1101,Feature D,121,2024-02-26
642,525,Feature C,91,2024-11-06
643,220,Feature C,282,2024-11-05
644,1494,Feature C,156,2024-08-25
645,1466,Feature A,85,2024-05-23
646,775,Feature D,395,2024-11-06
647,843,Feature C,451,2024-08-27
648,672,Feature A,237,2024-03-02
649,194,Feature A,467,2024-08-30
650,1875,Feature C,128,2024-03-07
651,1467,Feature A,181,2024-08-25
652,31,Feature C,272,2024-01-13
653,1155,Feature B,482,2024-10-15
654,423,Feature D,341,2024-04-03
655,339,Feature D,221,2024-09-14
656,1164,Feature D,245,2024-03-29
657,1807,Feature B,351,2024-09-24
658,1437,Feature A,65,2024-06-23
659,1768,Feature D,91,2024-04-27
660,1889,Feature B,292,2024-06-19
661,1874,Feature D,318,2024-09-29
662,794,Feature B,367,2024-04-24
663,1757,Feature A,55,2024-06-16
664,1532,Feature C,207,2024-07-24
665,1677,Feature D,466,2024-02-15
666,1386,Feature A,246,2024-06-04
667,107,Feature D,159,2024-08-13
668,1274,Feature C,413,2024-02-03
669,901,Feature D,410,2024-06-25
670,1875,Feature A,232,2024-05-02
671,95,Feature B,156,2024-06-23
672,1117,Feature B,275,2023-11-27
673,744,Feature C,103,2023-12-27
674,595,Feature B,155,2024-05-01
675,766,Feature A,254,2024-06-22
676,1036,Feature A,175,2023-12-29
677,478,Feature A,242,2023-12-18
678,1473,Feature B,196,2024-09-26
679,1625,Feature B,304,2024-05-01
680,195,Feature A,122,2024-07-19
681,486,Feature A,99,2024-03-17
682,1301,Feature B,197,2024-09-11
683,122,Feature D,238,2024-10-17
684,1285,Feature D,54,2024-04-29
685,728,Feature C,254,2024-02-04
686,429,Feature B,372,2024-07-28
687,1087,Feature B,94,2024-10-16
688,1938,Feature C,248,2024-03-19
689,1963,Feature D,483,2024-06-27
690,310,Feature D,189,2024-05-03
691,1109,Feature D,243,2024-06-06
692,791,Feature C,275,2024-08-08
693,811,Feature C,234,2024-04-07
694,1511,Feature B,87,2024-11-12
695,1118,Feature C,12,2024-10-02
696,115,Feature B,291,2024-11-08
697,1252,Feature B,333,2024-02-26
698,1689,Feature B,458,2024-01-18
699,186,Feature B,392,2023-12-20
700,1821,Feature C,496,2024-02-11
701,967,Feature B,128,2024-07-14
702,888,Feature C,404,2024-10-21
703,251,Feature A,401,2024-05-28
704,1905,Feature A,250,2024-06-15
705,53,Feature D,129,2024-09-25
706,1506,Feature D,149,2024-01-27
707,125,Feature A,343,2024-01-18
708,490,Feature C,113,2024-05-23
709,1112,Feature B,288,2024-05-23
710,298,Feature B,29,2023-12-25
711,641,Feature A,250,2024-04-13
712,1417,Feature B,291,2024-06-27
713,1732,Feature B,100,2023-12-24
714,773,Feature C,141,2024-11-17
715,936,Feature D,23,2023-11-25
716,1781,Feature C,239,2024-03-16
717,1461,Feature A,75,2024-07-06
718,1340,Feature B,386,2024-08-05
719,427,Feature B,192,2024-06-08
720,1084,Feature A,278,2024-04-19
721,1173,Feature D,462,2024-09-03
722,106,Feature B,316,2023-12-19
723,576,Feature A,343,2024-04-17
724,395,Feature A,274,2024-07-04
725,277,Feature A,71,2024-02-03
726,1552,Feature B,156,2024-08-17
727,617,Feature A,487,2024-09-20
728,1052,Feature C,59,2024-03-31
729,1517,Feature C,364,2024-06-14
730,694,Feature D,231,2024-08-09
731,901,Feature C,370,2024-03-23
732,198,Feature A,262,2024-09-24
733,1958,Feature C,45,2024-01-21
734,1810,Feature B,368,2024-04-06
735,1051,Feature D,74,2024-01-21
736,278,Feature D,128,2024-04-28
737,604,Feature C,246,2024-05-30
738,327,Feature C,384,2024-05-22
739,1162,Feature C,212,2024-04-04
740,11,Feature B,358,2024-04-13
741,1495,Feature C,476,2024-02-29
742,1983,Feature D,303,2024-10-23
743,1609,Feature C,304,2024-08-28
744,1511,Feature A,112,2024-01-26
745,925,Feature C,414,2024-01-09
746,1759,Feature D,295,2024-04-21
747,934,Feature D,61,2023-12-21
748,583,Feature D,292,2024-05-27
749,1105,Feature B,311,2024-10-15
750,1162,Feature C,153,2024-10-01
751,1288,Feature B,380,2024-09-13
752,383,Feature D,463,2024-06-28
753,641,Feature B,292,2024-07-06
754,581,Feature D,398,2024-03-06
